Fecha,TCR1
14/6/2007,7.66706,7.66706
15/6/2007,7.66965,7.66965
16/6/2007,7.66965,7.66965
17/6/2007,7.66965,7.66965
18/6/2007,7.67062,7.67062
19/6/2007,7.66966,7.66966
20/6/2007,7.67303,7.67303
21/6/2007,7.68056,7.68056
22/6/2007,7.68950,7.68950
23/6/2007,7.68950,7.68950
24/6/2007,7.68950,7.68950
25/6/2007,7.69818,7.69818
26/6/2007,7.71183,7.71183
27/6/2007,7.71736,7.71736
28/6/2007,7.71527,7.71527
29/6/2007,7.71527,7.71527
30/6/2007,7.71527,7.71527
1/7/2007,7.71527,7.71527
2/7/2007,7.71527,7.71527
3/7/2007,7.72090,7.72090
4/7/2007,7.70610,7.70610
5/7/2007,7.70541,7.70541
6/7/2007,7.69751,7.69751
7/7/2007,7.69751,7.69751
8/7/2007,7.69751,7.69751
9/7/2007,7.68979,7.68979
10/7/2007,7.68282,7.68282
11/7/2007,7.67441,7.67441
12/7/2007,7.66577,7.66577
13/7/2007,7.66710,7.66710
14/7/2007,7.66710,7.66710
15/7/2007,7.66710,7.66710
16/7/2007,7.67502,7.67502
17/7/2007,7.65737,7.65737
18/7/2007,7.66339,7.66339
19/7/2007,7.67102,7.67102
20/7/2007,7.66932,7.66932
21/7/2007,7.66932,7.66932
22/7/2007,7.66932,7.66932
23/7/2007,7.67044,7.67044
24/7/2007,7.66613,7.66613
25/7/2007,7.66562,7.66562
26/7/2007,7.68161,7.68161
27/7/2007,7.69791,7.69791
28/7/2007,7.69791,7.69791
29/7/2007,7.69791,7.69791
30/7/2007,7.69209,7.69209
31/7/2007,7.68506,7.68506
1/8/2007,7.67788,7.67788
2/8/2007,7.67199,7.67199
3/8/2007,7.66410,7.66410
4/8/2007,7.66410,7.66410
5/8/2007,7.66410,7.66410
6/8/2007,7.65380,7.65380
7/8/2007,7.64966,7.64966
8/8/2007,7.65377,7.65377
9/8/2007,7.65201,7.65201
10/8/2007,7.65311,7.65311
11/8/2007,7.65311,7.65311
12/8/2007,7.65311,7.65311
13/8/2007,7.65420,7.65420
14/8/2007,7.64444,7.64444
15/8/2007,7.64444,7.64444
16/8/2007,7.64695,7.64695
17/8/2007,7.65309,7.65309
18/8/2007,7.65309,7.65309
19/8/2007,7.65309,7.65309
20/8/2007,7.66776,7.66776
21/8/2007,7.66715,7.66715
22/8/2007,7.66355,7.66355
23/8/2007,7.66601,7.66601
24/8/2007,7.66178,7.66178
25/8/2007,7.66178,7.66178
